"Col1"
"ABMapper"
"BBMap"
"ContextMap"
"CRAC"
"GSNAP"
"HISAT"
"HMMSplicer"
"MapSplice"
"PALMapper"
"Pass"
"PASSion"
"PASTA"
"QPALMA"
"RAZER"
"SeqSaw"
"SoapSplice"
"SpliceMap"
"SplitSeek"
"SuperSplat"
"Subread"
"Subjunc"
"MapNext"
"OLego"
"STAR"
"TopHat"
"G.Mo.R-Se"
