"Col1"
"Bellerophontes"
"BreakDancer"
"BreakFusion"
"ChimeraScan"
"DeFuse"
"EBARDenovo"
"EricScript"
"FusionAnalyser"
"FusionCatcher"
"FusionHunter"
"FusionMap"
"FusionSeq"
"JAFFA"
"MapSplice"
"nFuse"
"Oncomine"
"PRADA"
"SOAPFuse"
"SOAPfusion"
"TopHat-Fusion"
"ViralFusionSeq"
"CNVseq"
