"Col1"
"BFAST"
"Bowtie"
"Burrows-Wheeler Aligner (BWA)"
"Short Oligonucleotide Analysis Package (SOAP)"
"GNUMAP"
"Maq"
"Mosaik"
"NovoAlign"
"PerM"
"RazerS"
"SEAL"
"segemehl"
"SeqMap"
"SHRiMP"
"SMALT"
"Stampy"
"ZOOM"
"WHAM"
