"Col1"
"Alternative Splicing Analysis Tool Package"
"Asprofile"
"AStalavista"
"CLASS2"
"Cufflinks"
"DEXseq"
"Diceseq"
"EBChangepoint"
"GESS"
"LeafCutter"
"LEMONS"
"MAJIC"
"MATS"
"MISO"
"RSVP"
"SAJR"
"SplAdder"
"SpliceJumper"
"SplicePie"
"SplicePlot"
"SpliceR"
"SpliceSEQ"
"SpliceTrap"
"Splicing Express"
"SUPPA"
"SwitchSeq"
"TrueSight"
"Vast-tools"
