"Col1"
"Bridger"
"KISSPLICE"
"Oases"
"Rnnotator"
"SAT-Assembler"
"SOAPdenovo-Trans"
"Scaffolding Translation Mapping"
"Trans-ABySS"
"T-IDBA"
"Trinity"
"Velvet"
