"Col1"
"BBDuk"
"clean_reads"
"condetri"
"cutadapt"
"Deconseq"
"Erne-Filter"
"FastqMcf"
"FASTX"
"Flexbar"
"FreClu"
"htSeqTools"
"NxTrim"
"PRINSEQ"
"Sabre"
"Scythe"
"SEECER"
"Sickle"
"SnoWhite"
"ShortRead"
"TagCleaner"
"Trimmomatic"
